Entity,Code,Day,stringency_index
United States,USA,2020/1/21,0
United States,USA,2020/1/22,0
United States,USA,2020/1/23,0
United States,USA,2020/1/24,0
United States,USA,2020/1/25,0
United States,USA,2020/1/26,0
United States,USA,2020/1/27,0
United States,USA,2020/1/28,0
United States,USA,2020/1/29,0
United States,USA,2020/1/30,0
United States,USA,2020/1/31,0
United States,USA,2020/2/1,0
United States,USA,2020/2/2,5.56
United States,USA,2020/2/3,5.56
United States,USA,2020/2/4,5.56
United States,USA,2020/2/5,5.56
United States,USA,2020/2/6,5.56
United States,USA,2020/2/7,5.56
United States,USA,2020/2/8,5.56
United States,USA,2020/2/9,5.56
United States,USA,2020/2/10,5.56
United States,USA,2020/2/11,5.56
United States,USA,2020/2/12,5.56
United States,USA,2020/2/13,5.56
United States,USA,2020/2/14,5.56
United States,USA,2020/2/15,5.56
United States,USA,2020/2/16,5.56
United States,USA,2020/2/17,5.56
United States,USA,2020/2/18,5.56
United States,USA,2020/2/19,5.56
United States,USA,2020/2/20,5.56
United States,USA,2020/2/21,5.56
United States,USA,2020/2/22,5.56
United States,USA,2020/2/23,5.56
United States,USA,2020/2/24,5.56
United States,USA,2020/2/25,5.56
United States,USA,2020/2/26,5.56
United States,USA,2020/2/27,5.56
United States,USA,2020/2/28,5.56
United States,USA,2020/2/29,5.56
United States,USA,2020/3/1,8.33
United States,USA,2020/3/2,11.11
United States,USA,2020/3/3,11.11
United States,USA,2020/3/4,11.11
United States,USA,2020/3/5,20.37
United States,USA,2020/3/6,20.37
United States,USA,2020/3/7,20.37
United States,USA,2020/3/8,20.37
United States,USA,2020/3/9,20.37
United States,USA,2020/3/10,20.37
United States,USA,2020/3/11,21.76
United States,USA,2020/3/12,30.09
United States,USA,2020/3/13,30.09
United States,USA,2020/3/14,35.65
United States,USA,2020/3/15,41.2
United States,USA,2020/3/16,52.31
United States,USA,2020/3/17,55.09
United States,USA,2020/3/18,55.09
United States,USA,2020/3/19,67.13
United States,USA,2020/3/20,67.13
United States,USA,2020/3/21,72.69
United States,USA,2020/3/22,72.69
United States,USA,2020/3/23,72.69
United States,USA,2020/3/24,72.69
United States,USA,2020/3/25,72.69
United States,USA,2020/3/26,72.69
United States,USA,2020/3/27,72.69
United States,USA,2020/3/28,72.69
United States,USA,2020/3/29,72.69
United States,USA,2020/3/30,72.69
United States,USA,2020/3/31,72.69
United States,USA,2020/4/1,72.69
United States,USA,2020/4/2,72.69
United States,USA,2020/4/3,72.69
United States,USA,2020/4/4,72.69
United States,USA,2020/4/5,72.69
United States,USA,2020/4/6,72.69
United States,USA,2020/4/7,72.69
United States,USA,2020/4/8,72.69
United States,USA,2020/4/9,72.69
United States,USA,2020/4/10,72.69
United States,USA,2020/4/11,72.69
United States,USA,2020/4/12,72.69
United States,USA,2020/4/13,72.69
United States,USA,2020/4/14,72.69
United States,USA,2020/4/15,72.69
United States,USA,2020/4/16,72.69
United States,USA,2020/4/17,72.69
United States,USA,2020/4/18,72.69
United States,USA,2020/4/19,72.69
United States,USA,2020/4/20,72.69
United States,USA,2020/4/21,72.69
United States,USA,2020/4/22,72.69
United States,USA,2020/4/23,72.69
United States,USA,2020/4/24,72.69
United States,USA,2020/4/25,72.69
United States,USA,2020/4/26,72.69
United States,USA,2020/4/27,72.69
United States,USA,2020/4/28,72.69
United States,USA,2020/4/29,72.69
United States,USA,2020/4/30,72.69
United States,USA,2020/5/1,72.69
United States,USA,2020/5/2,72.69
United States,USA,2020/5/3,72.69
United States,USA,2020/5/4,72.69
United States,USA,2020/5/5,72.69
United States,USA,2020/5/6,72.69
United States,USA,2020/5/7,72.69
United States,USA,2020/5/8,72.69
United States,USA,2020/5/9,72.69
United States,USA,2020/5/10,72.69
United States,USA,2020/5/11,72.69
United States,USA,2020/5/12,72.69
United States,USA,2020/5/13,72.69
United States,USA,2020/5/14,72.69
United States,USA,2020/5/15,72.69
United States,USA,2020/5/16,72.69
United States,USA,2020/5/17,72.69
United States,USA,2020/5/18,72.69
United States,USA,2020/5/19,72.69
United States,USA,2020/5/20,72.69
United States,USA,2020/5/21,72.69
United States,USA,2020/5/22,72.69
United States,USA,2020/5/23,72.69
United States,USA,2020/5/24,72.69
United States,USA,2020/5/25,72.69
United States,USA,2020/5/26,72.69
United States,USA,2020/5/27,72.69
United States,USA,2020/5/28,72.69
United States,USA,2020/5/29,72.69
United States,USA,2020/5/30,72.69
United States,USA,2020/5/31,72.69
United States,USA,2020/6/1,72.69
United States,USA,2020/6/2,72.69
United States,USA,2020/6/3,72.69
United States,USA,2020/6/4,72.69
United States,USA,2020/6/5,72.69
United States,USA,2020/6/6,72.69
United States,USA,2020/6/7,72.69
United States,USA,2020/6/8,72.69
United States,USA,2020/6/9,72.69
United States,USA,2020/6/10,72.69
United States,USA,2020/6/11,72.69
United States,USA,2020/6/12,72.69
United States,USA,2020/6/13,72.69
United States,USA,2020/6/14,72.69
United States,USA,2020/6/15,68.98
United States,USA,2020/6/16,68.98
United States,USA,2020/6/17,68.98
United States,USA,2020/6/18,68.98
United States,USA,2020/6/19,68.98
United States,USA,2020/6/20,68.98
United States,USA,2020/6/21,68.98
United States,USA,2020/6/22,68.98
United States,USA,2020/6/23,68.98
United States,USA,2020/6/24,68.98
United States,USA,2020/6/25,68.98
United States,USA,2020/6/26,68.98
United States,USA,2020/6/27,68.98
United States,USA,2020/6/28,68.98
United States,USA,2020/6/29,68.98
United States,USA,2020/6/30,68.98
United States,USA,2020/7/1,68.98
United States,USA,2020/7/2,68.98
United States,USA,2020/7/3,68.98
United States,USA,2020/7/4,68.98
United States,USA,2020/7/5,68.98
United States,USA,2020/7/6,68.98
United States,USA,2020/7/7,68.98
United States,USA,2020/7/8,68.98
United States,USA,2020/7/9,68.98
United States,USA,2020/7/10,68.98
United States,USA,2020/7/11,68.98
United States,USA,2020/7/12,68.98
United States,USA,2020/7/13,68.98
United States,USA,2020/7/14,68.98
United States,USA,2020/7/15,68.98
United States,USA,2020/7/16,68.98
United States,USA,2020/7/17,68.98
United States,USA,2020/7/18,68.98
United States,USA,2020/7/19,68.98
United States,USA,2020/7/20,67.13
United States,USA,2020/7/21,67.13
United States,USA,2020/7/22,67.13
United States,USA,2020/7/23,67.13
United States,USA,2020/7/24,67.13
United States,USA,2020/7/25,67.13
United States,USA,2020/7/26,67.13
United States,USA,2020/7/27,67.13
United States,USA,2020/7/28,67.13
United States,USA,2020/7/29,67.13
United States,USA,2020/7/30,67.13
United States,USA,2020/7/31,67.13
United States,USA,2020/8/1,67.13
United States,USA,2020/8/2,67.13
United States,USA,2020/8/3,67.13
United States,USA,2020/8/4,67.13
United States,USA,2020/8/5,67.13
United States,USA,2020/8/6,67.13
United States,USA,2020/8/7,67.13
United States,USA,2020/8/8,67.13
United States,USA,2020/8/9,67.13
United States,USA,2020/8/10,67.13
United States,USA,2020/8/11,67.13
United States,USA,2020/8/12,67.13
United States,USA,2020/8/13,67.13
United States,USA,2020/8/14,67.13
United States,USA,2020/8/15,67.13
United States,USA,2020/8/16,67.13
United States,USA,2020/8/17,67.13
United States,USA,2020/8/18,67.13
United States,USA,2020/8/19,67.13
United States,USA,2020/8/20,67.13
United States,USA,2020/8/21,67.13
United States,USA,2020/8/22,67.13
United States,USA,2020/8/23,67.13
United States,USA,2020/8/24,67.13
United States,USA,2020/8/25,67.13
United States,USA,2020/8/26,67.13
United States,USA,2020/8/27,67.13
United States,USA,2020/8/28,67.13
United States,USA,2020/8/29,67.13
United States,USA,2020/8/30,67.13
United States,USA,2020/8/31,67.13
United States,USA,2020/9/1,67.13
United States,USA,2020/9/2,67.13
United States,USA,2020/9/3,67.13
United States,USA,2020/9/4,67.13
United States,USA,2020/9/5,67.13
United States,USA,2020/9/6,67.13
United States,USA,2020/9/7,67.13
United States,USA,2020/9/8,67.13
United States,USA,2020/9/9,67.13
United States,USA,2020/9/10,67.13
United States,USA,2020/9/11,67.13
United States,USA,2020/9/12,62.5
United States,USA,2020/9/13,62.5
United States,USA,2020/9/14,62.5
United States,USA,2020/9/15,62.5
United States,USA,2020/9/16,62.5
United States,USA,2020/9/17,62.5
United States,USA,2020/9/18,62.5
United States,USA,2020/9/19,62.5
United States,USA,2020/9/20,62.5
United States,USA,2020/9/21,62.5
United States,USA,2020/9/22,62.5
United States,USA,2020/9/23,62.5
United States,USA,2020/9/24,62.5
United States,USA,2020/9/25,62.5
United States,USA,2020/9/26,62.5
United States,USA,2020/9/27,62.5
United States,USA,2020/9/28,62.5
United States,USA,2020/9/29,62.5
United States,USA,2020/9/30,62.5
United States,USA,2020/10/1,62.5
United States,USA,2020/10/2,62.5
United States,USA,2020/10/3,62.5
United States,USA,2020/10/4,62.5
United States,USA,2020/10/5,62.5
United States,USA,2020/10/6,62.5
United States,USA,2020/10/7,62.5
United States,USA,2020/10/8,62.5
United States,USA,2020/10/9,62.5
United States,USA,2020/10/10,62.5
United States,USA,2020/10/11,62.5
United States,USA,2020/10/12,62.5
United States,USA,2020/10/13,66.2
United States,USA,2020/10/14,66.2
United States,USA,2020/10/15,66.2
United States,USA,2020/10/16,66.2
United States,USA,2020/10/17,66.2
United States,USA,2020/10/18,66.2
United States,USA,2020/10/19,66.2
United States,USA,2020/10/20,66.2
United States,USA,2020/10/21,66.2
United States,USA,2020/10/22,66.2
United States,USA,2020/10/23,66.2
United States,USA,2020/10/24,66.2
United States,USA,2020/10/25,66.2
United States,USA,2020/10/26,62.5
United States,USA,2020/10/27,62.5
United States,USA,2020/10/28,62.5
United States,USA,2020/10/29,62.5
United States,USA,2020/10/30,62.5
United States,USA,2020/10/31,62.5
United States,USA,2020/11/1,62.5
United States,USA,2020/11/2,62.5
United States,USA,2020/11/3,62.5
United States,USA,2020/11/4,62.5
United States,USA,2020/11/5,62.5
United States,USA,2020/11/6,62.5
United States,USA,2020/11/7,62.5
United States,USA,2020/11/8,62.5
United States,USA,2020/11/9,65.28
United States,USA,2020/11/10,65.28
United States,USA,2020/11/11,65.28
United States,USA,2020/11/12,65.28
United States,USA,2020/11/13,65.28
United States,USA,2020/11/14,65.28
United States,USA,2020/11/15,65.28
United States,USA,2020/11/16,75.46
United States,USA,2020/11/17,75.46
United States,USA,2020/11/18,75.46
United States,USA,2020/11/19,75.46
United States,USA,2020/11/20,75.46
